aX,aY,aZ,gX,gY,gZ
-0.097,-0.031,1.082,-2.930,-4.211,0.061
-0.099,-0.025,1.088,-3.845,-3.113,0.061
-0.098,-0.033,1.071,-3.540,-1.648,-1.038
-0.097,-0.030,1.067,-1.221,-0.610,-1.831
-0.101,-0.035,1.026,1.526,0.732,-2.502

-0.201,0.032,2.253,-7.874,-68.115,17.822
-0.187,0.072,1.971,-11.292,-24.414,13.977
-0.152,-0.013,1.728,-6.775,8.972,6.165
-0.167,-0.004,1.416,2.075,35.034,1.526
-0.191,-0.005,1.094,14.771,51.880,-2.686
-0.197,-0.041,0.842,25.146,55.298,-6.836
-0.195,-0.073,0.719,27.344,46.265,-6.958
-0.201,-0.074,0.655,22.461,29.541,-4.028
-0.208,-0.055,0.688,11.841,8.057,0.549
-0.205,-0.038,0.818,1.709,-12.695,4.150
-0.195,-0.022,1.006,-6.531,-28.625,4.944
-0.202,-0.034,1.138,-13.062,-38.025,4.150
-0.185,-0.017,1.254,-21.729,-40.833,4.272
-0.170,-0.010,1.413,-29.297,-39.063,3.174
-0.158,-0.019,1.453,-27.527,-28.381,0.122
-0.138,-0.054,1.432,-20.081,-12.634,-2.686
-0.134,-0.035,1.364,-12.573,2.991,-3.540
-0.135,-0.056,1.231,-5.493,17.639,-5.005
-0.136,-0.080,1.094,-0.610,26.123,-5.432
-0.134,-0.062,1.000,3.296,27.710,-4.395
-0.141,-0.068,0.908,4.700,25.146,-4.700
-0.135,-0.066,0.868,4.822,18.799,-4.211
-0.130,-0.058,0.842,3.113,10.925,-3.601
-0.131,-0.055,0.876,1.587,2.747,-3.052
-0.121,-0.066,0.927,0.122,-3.784,-2.380
-0.123,-0.054,0.989,-1.160,-7.141,-1.282
-0.132,-0.041,1.022,-0.305,-8.606,-0.610
-0.134,-0.036,1.060,-0.366,-7.629,-0.610
-0.124,-0.051,1.103,-1.770,-6.165,-0.854
-0.125,-0.040,1.123,-2.197,-3.662,-0.427
-0.134,-0.039,1.096,-1.526,0.732,-0.427
-0.141,-0.031,1.052,-1.465,4.761,-0.671
-0.135,-0.044,1.002,-3.235,6.775,-1.404
-0.136,-0.053,0.953,-3.723,6.592,-1.404
-0.130,-0.053,0.920,-3.174,4.761,-0.732
-0.131,-0.052,0.907,-1.709,2.258,-0.366
-0.148,-0.037,0.924,0.488,-0.732,0.305
-0.158,-0.027,0.952,1.831,-3.479,0.732
-0.158,-0.029,1.002,1.831,-5.798,0.549
-0.148,-0.040,1.050,-0.732,-7.202,0.427
-0.148,-0.040,1.089,-3.479,-7.263,0.183
-0.152,-0.033,1.107,-5.798,-5.493,0.122
-0.144,-0.036,1.092,-5.493,-3.418,-0.366
-0.142,-0.046,1.088,-5.310,-1.587,-1.282
-0.154,-0.033,1.072,-5.188,0.671,-1.221
-0.149,-0.030,1.033,-2.991,2.563,-0.916
-0.143,-0.029,0.987,0.549,3.784,-1.160
-0.141,-0.039,0.978,2.930,3.052,-2.136
-0.143,-0.042,0.975,2.930,1.587,-2.136
-0.142,-0.043,0.977,3.662,-0.061,-1.465
-0.145,-0.045,0.989,5.371,-2.380,-1.465
-0.148,-0.032,1.000,3.479,-3.967,-1.038
-0.153,-0.027,1.058,-1.587,-5.676,-0.305
-0.149,-0.026,1.076,-3.418,-5.371,-0.732
-0.140,-0.046,1.098,-3.540,-3.784,-1.160
-0.136,-0.041,1.087,-1.648,-1.099,-1.099
-0.140,-0.039,1.056,1.465,1.709,-0.916
-0.143,-0.042,1.021,3.052,3.113,-1.160
-0.141,-0.045,0.996,1.343,2.502,-1.038
-0.146,-0.029,0.973,-2.808,0.610,-0.244
-0.143,-0.042,0.995,-7.812,-2.319,-0.549
