aX,aY,aZ,gX,gY,gZ
-0.500,-1.342,1.039,95.642,87.585,-476.135
-0.443,-1.604,1.185,52.368,92.712,-442.810

-0.233,-1.880,1.150,7.935,103.699,-332.642
-0.160,-1.584,0.897,-18.799,118.286,-229.858
-0.122,-1.148,0.746,-44.189,115.173,-130.188
-0.096,-0.777,0.686,-55.420,99.731,-60.364
0.002,-0.452,0.666,-50.720,75.623,-17.395
-0.164,-0.336,0.735,-33.569,42.053,6.897
-0.163,0.007,0.836,-22.644,8.240,21.851
-0.130,-0.045,1.030,-5.554,-16.968,9.399
-0.110,-0.158,1.133,-1.648,-21.912,-3.601
-0.095,-0.112,1.086,-7.568,-11.963,1.099
-0.096,-0.081,1.074,-7.324,-5.066,6.653
-0.110,-0.146,1.094,-1.160,-3.662,7.812
-0.098,-0.192,1.069,5.554,-0.977,11.536
-0.073,-0.147,1.027,11.230,1.099,19.653
-0.045,-0.098,1.001,17.334,-0.244,25.879
-0.029,-0.055,1.007,23.682,-3.296,28.748
-0.011,-0.010,1.020,24.658,-4.944,28.748
-0.002,-0.017,1.008,23.560,-4.517,25.085
-0.010,-0.019,1.002,21.912,-4.395,21.484
-0.032,0.027,0.989,18.250,-4.456,19.165
-0.051,0.039,0.956,8.545,-4.395,14.160
-0.062,0.038,0.973,-0.427,-5.188,8.057
-0.076,-0.013,1.012,-5.127,-6.592,2.441
-0.084,-0.078,1.023,-4.883,-5.188,-0.427
-0.078,-0.090,1.013,-3.113,-2.930,1.404
-0.067,-0.082,1.011,-0.916,-0.732,4.639
-0.057,-0.089,1.003,2.258,0.732,6.775
-0.046,-0.100,0.992,5.371,1.465,8.240
-0.051,-0.116,0.996,6.775,1.038,9.705
-0.055,-0.149,1.001,7.324,-0.183,10.681
-0.055,-0.115,1.001,8.179,-1.404,13.428
-0.059,-0.081,0.996,8.850,-2.380,14.709
-0.068,-0.079,0.990,7.996,-2.869,13.123
-0.068,-0.064,0.987,6.042,-3.601,11.963
-0.069,-0.064,1.000,4.028,-4.089,10.681
-0.070,-0.090,1.009,3.540,-4.211,8.484
-0.064,-0.105,1.007,4.211,-3.967,8.179
-0.055,-0.086,1.021,4.822,-3.784,8.911
-0.055,-0.099,1.013,4.700,-3.174,8.179
-0.064,-0.125,1.014,3.052,-2.136,7.202
-0.067,-0.135,1.018,1.404,-1.648,7.507
-0.062,-0.120,1.006,2.380,-1.160,9.399
-0.054,-0.099,1.007,4.211,-1.221,11.169
-0.057,-0.083,1.012,4.517,-1.648,11.597
-0.065,-0.079,1.005,3.296,-1.282,11.169
-0.070,-0.091,1.000,1.404,-0.854,10.132
-0.066,-0.090,0.991,0.366,-1.709,9.949
-0.066,-0.079,0.996,0.671,-3.357,9.827
-0.071,-0.079,1.009,1.343,-4.517,9.216
-0.079,-0.062,1.029,0.488,-5.127,8.667
-0.083,-0.067,1.057,-2.686,-5.005,7.385
-0.091,-0.079,1.072,-4.272,-4.211,5.310
-0.086,-0.092,1.072,-3.296,-3.296,4.395
-0.069,-0.093,1.042,-0.977,-2.258,4.333
-0.051,-0.079,1.015,-0.244,-1.343,4.395
-0.045,-0.073,1.026,0.061,-1.953,3.601
-0.041,-0.092,1.022,1.038,-1.892,1.770
-0.043,-0.108,1.014,1.282,-1.221,0.427
-0.048,-0.107,1.000,0.977,-0.488,0.793
-0.051,-0.093,0.999,0.122,-1.343,1.099
-0.051,-0.085,1.005,-1.709,-2.869,0.122
-0.057,-0.099,1.026,-3.540,-3.967,-1.526
-0.066,-0.121,1.044,-4.150,-4.272,-2.625
-0.064,-0.129,1.057,-2.686,-4.028,-2.258
-0.064,-0.127,1.063,-0.732,-3.296,-0.916
-0.055,-0.111,1.041,-0.061,-1.770,0.366
-0.052,-0.099,1.038,0.366,-0.671,1.099
-0.060,-0.119,1.043,0.977,-0.366,0.793
-0.058,-0.127,1.044,1.953,-0.122,1.038
-0.057,-0.119,1.041,2.441,0.183,2.075
-0.057,-0.112,1.039,2.319,0.488,2.502
-0.054,-0.092,1.021,1.770,0.671,2.625
-0.051,-0.073,1.010,-0.183,0.549,2.380
-0.051,-0.079,1.015,-1.709,-0.549,1.099
-0.056,-0.106,1.033,-1.953,-1.770,-0.122
-0.063,-0.123,1.048,-2.441,-1.953,0.061
-0.062,-0.117,1.050,-1.526,-1.038,1.343
-0.056,-0.109,1.045,0.000,-0.488,2.625
-0.056,-0.111,1.037,-0.793,0.183,3.418
-0.055,-0.101,1.041,-3.601,0.549,4.211
-0.057,-0.089,1.043,-5.371,0.427,4.822
-0.067,-0.081,1.036,-6.409,0.549,4.883
-0.080,-0.070,1.032,-6.714,0.427,4.517
-0.081,-0.058,1.041,-7.385,0.061,3.723
-0.074,-0.065,1.062,-8.423,-0.549,2.563
-0.080,-0.061,1.065,-16.418,0.366,2.258
-0.081,-0.059,1.036,-14.526,3.357,2.075
-0.080,-0.100,1.051,-6.348,2.380,0.183
-0.058,-0.095,1.059,-0.183,0.977,1.221
-0.051,-0.069,1.044,2.625,1.892,3.052
-0.048,-0.072,1.013,4.395,2.686,2.319
-0.044,-0.070,1.004,6.592,1.526,1.648
-0.049,-0.065,1.030,8.911,-1.038,1.465
-0.054,-0.066,1.044,9.460,-1.892,0.916
-0.057,-0.068,1.034,8.484,-1.038,0.244
-0.059,-0.079,1.016,8.179,-0.427,-0.427
-0.061,-0.086,1.013,9.705,-0.977,-0.610
-0.061,-0.093,1.014,13.306,-1.831,-0.244
-0.064,-0.109,1.015,17.151,-2.441,0.427
-0.050,-0.114,1.009,20.020,-2.502,1.709
-0.042,-0.101,1.021,22.400,-2.686,3.784
