aX,aY,aZ,gX,gY,gZ
0.025,-0.637,0.796,12.573,-5.432,-4.089

-0.899,-1.327,0.818,195.190,-227.051,-243.896
-0.940,-1.479,0.985,183.044,-202.209,-219.421
-0.933,-1.605,1.081,163.025,-165.100,-184.509
-0.880,-1.661,1.109,134.338,-118.286,-141.174
-0.817,-1.694,1.061,100.281,-68.726,-94.177
-0.758,-1.665,0.945,63.782,-23.315,-45.593
-0.685,-1.555,0.834,26.367,12.573,1.587
-0.615,-1.456,0.755,-12.024,39.124,40.283
-0.598,-1.417,0.736,-46.021,54.321,67.139
-0.622,-1.347,0.759,-64.636,59.937,89.355
-0.646,-1.223,0.787,-80.994,65.063,108.582
-0.699,-1.164,0.852,-110.229,74.097,117.615
-0.729,-1.165,0.872,-129.150,86.853,121.094
-0.745,-1.176,0.854,-128.540,106.262,127.441
-0.742,-1.087,0.799,-130.188,131.165,143.555
-0.717,-0.929,0.676,-130.554,156.311,163.025
-0.659,-0.760,0.528,-130.676,175.659,174.561
-0.583,-0.617,0.467,-135.254,182.495,175.659
-0.486,-0.525,0.455,-134.094,179.993,167.847
-0.372,-0.474,0.413,-124.634,175.232,156.006
-0.248,-0.411,0.387,-117.920,167.847,142.944
-0.144,-0.367,0.426,-116.516,153.992,127.197
-0.073,-0.359,0.488,-111.755,137.817,109.802
-0.008,-0.349,0.519,-101.685,124.023,94.666
0.062,-0.338,0.553,-86.060,109.314,80.811
0.109,-0.361,0.581,-70.129,91.431,65.063
0.121,-0.443,0.634,-59.570,74.829,47.729
0.103,-0.518,0.716,-50.232,60.181,36.499
0.089,-0.534,0.745,-38.269,50.476,33.203
0.094,-0.520,0.739,-28.442,45.410,32.471
0.099,-0.520,0.714,-21.301,42.053,29.785
0.100,-0.508,0.721,-16.785,36.377,25.635
0.117,-0.485,0.720,-12.878,28.809,20.935
0.131,-0.488,0.719,-7.690,20.508,13.550
0.135,-0.505,0.733,-1.526,11.475,5.127
0.139,-0.523,0.727,10.193,3.113,-1.099
0.133,-0.527,0.740,17.212,-3.906,-4.211
0.110,-0.550,0.774,19.531,-9.033,-6.042
0.081,-0.585,0.813,22.217,-11.841,-7.019
0.066,-0.610,0.819,25.879,-11.597,-6.531
0.067,-0.638,0.825,25.024,-9.705,-5.920
0.072,-0.672,0.814,22.888,-8.484,-5.493
0.068,-0.691,0.809,22.766,-9.460,-4.944
0.063,-0.676,0.818,23.926,-11.902,-2.747
0.061,-0.659,0.818,25.452,-12.939,-0.366
0.046,-0.644,0.812,24.292,-12.634,0.977
0.035,-0.641,0.827,22.034,-12.512,1.099
0.024,-0.638,0.816,23.254,-11.841,0.061
0.016,-0.647,0.812,23.010,-11.230,-1.465
0.006,-0.669,0.827,18.066,-10.925,-2.991
0.001,-0.691,0.835,13.733,-9.766,-3.662
0.010,-0.699,0.824,12.939,-8.362,-3.174
0.016,-0.693,0.815,11.902,-7.629,-2.319
0.027,-0.694,0.801,11.658,-7.751,-1.709
0.030,-0.697,0.812,9.583,-7.996,-0.549
0.028,-0.698,0.829,8.423,-7.751,1.343
0.029,-0.696,0.812,11.169,-5.859,3.601
0.022,-0.663,0.768,11.719,-3.479,7.019
0.019,-0.629,0.753,8.301,-2.747,9.277
0.012,-0.611,0.766,7.263,-4.395,9.094
0.006,-0.615,0.775,10.071,-5.615,6.592
-0.000,-0.623,0.776,11.780,-6.287,3.845
0.005,-0.643,0.776,9.460,-6.104,1.099
0.010,-0.674,0.781,7.324,-6.226,-1.282
0.006,-0.684,0.781,7.874,-5.859,-0.732
0.011,-0.664,0.778,7.690,-4.944,2.075
0.027,-0.658,0.774,5.432,-4.333,3.174
0.037,-0.690,0.770,3.357,-4.150,2.014
0.032,-0.699,0.754,4.211,-4.517,2.563
0.021,-0.672,0.765,5.371,-5.920,5.310
0.020,-0.645,0.776,5.920,-7.080,7.141
0.017,-0.633,0.764,6.470,-6.470,6.775
0.016,-0.638,0.761,6.348,-5.920,5.127
0.016,-0.645,0.759,6.287,-6.042,4.211
0.012,-0.647,0.767,7.263,-5.981,4.028
0.001,-0.652,0.786,6.836,-6.165,3.235
0.003,-0.682,0.782,5.920,-5.554,1.282
0.006,-0.710,0.788,4.150,-4.639,0.183
0.008,-0.719,0.791,3.967,-4.456,1.038
0.010,-0.701,0.781,6.287,-3.967,3.296
0.019,-0.680,0.778,5.371,-3.906,4.944
0.019,-0.683,0.771,2.563,-3.906,4.150
0.017,-0.695,0.771,2.136,-4.333,2.686
0.010,-0.679,0.773,3.174,-4.761,3.479
0.010,-0.654,0.770,3.967,-4.883,4.822
0.013,-0.640,0.763,4.089,-4.395,4.761
0.021,-0.646,0.761,4.028,-4.333,3.784
0.020,-0.665,0.766,3.540,-4.517,2.441
0.012,-0.685,0.771,3.479,-4.944,1.587
0.003,-0.685,0.774,4.395,-5.249,2.380
-0.000,-0.679,0.786,4.272,-5.005,3.601
0.002,-0.692,0.782,3.479,-4.272,3.174
0.000,-0.704,0.771,4.822,-3.723,2.258
-0.002,-0.694,0.779,4.883,-4.028,2.808
-0.003,-0.672,0.776,5.493,-4.211,3.540
0.000,-0.659,0.780,5.188,-3.784,3.357
0.004,-0.670,0.778,4.700,-3.235,1.953
0.004,-0.688,0.767,6.165,-3.174,0.183
0.006,-0.705,0.778,6.226,-3.906,-0.549
0.003,-0.710,0.779,6.409,-4.333,-0.549
-0.000,-0.705,0.782,6.531,-4.395,0.061
-0.000,-0.706,0.789,5.005,-4.395,0.366
0.000,-0.709,0.795,3.235,-3.723,0.671
0.001,-0.702,0.783,2.808,-2.380,1.648
0.003,-0.691,0.771,3.235,-1.404,2.075
0.008,-0.695,0.774,1.648,-2.197,0.793
0.010,-0.710,0.773,2.563,-3.235,-1.038
0.004,-0.714,0.783,3.235,-3.967,-0.854
0.006,-0.697,0.783,2.991,-3.723,0.488
0.010,-0.678,0.774,2.258,-2.808,1.526
0.013,-0.674,0.759,3.113,-2.441,1.099
0.011,-0.682,0.764,2.808,-3.113,0.244
0.006,-0.690,0.771,3.113,-3.845,-0.427
0.002,-0.697,0.781,4.089,-4.150,-0.549
-0.004,-0.698,0.780,4.150,-3.906,-0.244
-0.008,-0.704,0.783,4.150,-3.418,-0.366
-0.004,-0.710,0.793,3.723,-2.869,-0.244
0.001,-0.705,0.782,3.113,-1.099,0.488
0.003,-0.688,0.767,2.869,0.427,1.953

-0.536,-1.399,0.968,-99.060,57.312,43.701
-0.651,-1.528,0.994,-111.694,75.867,51.331
-0.774,-1.581,1.010,-124.268,104.309,72.266
-0.796,-1.729,1.127,-155.640,140.442,106.201
-0.776,-1.587,1.068,-184.753,187.317,159.790
-0.706,-1.199,0.822,-186.035,234.863,218.689
-0.571,-0.781,0.596,-166.565,259.094,254.700
-0.395,-0.406,0.447,-139.893,257.385,262.817
-0.190,-0.180,0.359,-112.183,237.366,242.676
-0.028,-0.083,0.345,-92.224,209.473,205.078
0.091,-0.085,0.350,-70.496,181.030,163.269
0.182,-0.098,0.328,-51.880,153.931,126.404
0.254,-0.132,0.345,-35.217,125.000,96.069
0.286,-0.137,0.365,-22.583,96.069,71.899
0.304,-0.251,0.431,-21.057,68.237,48.401
0.308,-0.396,0.526,-23.254,46.082,31.433
0.306,-0.428,0.583,-18.982,33.752,27.283
0.302,-0.398,0.583,-12.939,28.076,28.442
0.300,-0.389,0.562,-9.460,23.865,26.367
0.288,-0.395,0.554,-7.385,18.311,22.522
0.284,-0.392,0.560,-3.296,10.742,18.188
0.277,-0.379,0.573,2.502,2.441,12.573
0.263,-0.403,0.601,7.202,-5.798,4.150
0.247,-0.456,0.631,10.986,-13.977,-5.310
0.240,-0.505,0.668,15.076,-21.301,-12.939
0.231,-0.551,0.673,26.062,-27.222,-18.921
0.210,-0.633,0.695,32.715,-30.701,-23.315
0.201,-0.659,0.749,23.621,-32.471,-20.813
0.186,-0.667,0.759,23.193,-31.860,-17.212
0.169,-0.667,0.736,27.100,-29.663,-14.832
0.154,-0.659,0.722,28.625,-28.442,-12.451
0.140,-0.653,0.723,26.917,-28.564,-10.498
0.127,-0.648,0.725,26.001,-28.198,-9.521
0.119,-0.645,0.724,27.954,-27.466,-9.216
0.119,-0.625,0.729,26.001,-25.513,-7.324
0.121,-0.616,0.732,22.339,-22.644,-6.287
0.127,-0.643,0.738,18.005,-20.386,-6.897
0.127,-0.681,0.732,16.907,-18.188,-7.874
0.125,-0.695,0.725,17.151,-16.785,-6.897
0.123,-0.691,0.732,18.311,-16.602,-5.310
0.117,-0.693,0.745,17.090,-16.357,-4.456
0.112,-0.698,0.740,16.846,-15.442,-4.517
0.106,-0.701,0.742,17.029,-14.587,-4.395
0.098,-0.694,0.754,14.893,-13.550,-3.113
0.099,-0.693,0.747,14.954,-11.597,-2.075
0.108,-0.686,0.746,12.573,-9.460,-1.404
0.119,-0.685,0.746,9.033,-7.568,-0.671
0.120,-0.697,0.736,8.972,-5.981,-0.610
0.114,-0.720,0.736,8.606,-5.676,-0.793
0.108,-0.733,0.746,8.179,-5.920,-0.244
0.109,-0.719,0.754,6.348,-5.798,1.587
0.115,-0.698,0.754,3.967,-4.700,3.113
0.119,-0.677,0.745,2.197,-3.723,3.784
0.125,-0.668,0.742,1.282,-3.479,3.113
0.131,-0.671,0.745,2.502,-3.601,1.648
0.137,-0.671,0.750,4.028,-3.906,0.305
0.138,-0.675,0.746,6.165,-4.089,-0.916
0.137,-0.680,0.739,7.141,-4.089,-1.953
0.137,-0.693,0.744,6.409,-4.456,-2.930
0.137,-0.706,0.750,6.165,-4.944,-3.784
0.141,-0.711,0.754,6.409,-5.249,-3.723
0.140,-0.719,0.746,6.958,-5.066,-3.357
0.140,-0.726,0.745,7.507,-5.127,-2.686
0.140,-0.720,0.749,7.385,-5.676,-1.160
0.139,-0.720,0.755,6.042,-5.859,0.000
0.138,-0.722,0.756,6.836,-5.859,-0.061
0.132,-0.717,0.749,8.850,-6.104,0.366
0.130,-0.720,0.750,8.362,-6.653,0.122
0.130,-0.724,0.753,5.859,-7.019,-0.183
0.128,-0.723,0.752,5.981,-7.080,0.305
0.124,-0.710,0.755,6.714,-6.836,1.221
0.121,-0.707,0.754,7.019,-6.470,1.709
0.123,-0.725,0.751,5.188,-5.920,0.793
0.123,-0.756,0.750,3.784,-5.737,-0.244
0.121,-0.754,0.754,4.272,-6.470,0.793
0.118,-0.724,0.754,4.639,-6.836,3.784
0.119,-0.703,0.756,3.662,-6.287,4.944
0.123,-0.706,0.744,3.174,-5.554,4.150
0.119,-0.703,0.733,5.127,-5.615,3.296
0.115,-0.700,0.740,6.897,-6.958,3.113
0.111,-0.700,0.746,7.935,-7.935,2.869
0.109,-0.710,0.751,7.935,-8.118,2.197
0.105,-0.725,0.758,7.141,-7.751,0.854
0.103,-0.734,0.757,7.446,-7.507,-0.183
0.099,-0.741,0.760,8.118,-6.958,-0.488
0.093,-0.744,0.769,7.507,-6.409,-0.244
0.091,-0.742,0.768,6.592,-5.127,0.122
0.094,-0.739,0.763,5.615,-4.150,0.244
0.097,-0.733,0.759,4.456,-3.479,0.305
0.102,-0.728,0.751,4.150,-2.625,-0.305
0.104,-0.727,0.750,4.456,-2.380,-0.977
0.109,-0.722,0.751,4.883,-2.136,-1.099
0.112,-0.725,0.751,5.127,-1.587,-1.099
0.112,-0.726,0.740,5.615,-0.793,-1.465
0.113,-0.733,0.738,3.845,-0.916,-2.319
0.112,-0.754,0.753,3.357,-1.831,-3.418
0.109,-0.754,0.753,4.456,-2.136,-2.991
0.106,-0.740,0.745,4.272,-1.221,-1.526
0.111,-0.733,0.740,3.357,-0.671,-0.793
0.110,-0.723,0.725,3.052,-0.549,-0.427
0.110,-0.716,0.737,3.784,-1.343,-0.488
0.118,-0.700,0.735,3.479,-1.648,-0.305
0.119,-0.695,0.724,4.211,-0.793,-0.488
0.117,-0.699,0.715,4.944,-1.038,-1.221
0.115,-0.708,0.719,6.348,-1.892,-1.892
0.114,-0.718,0.721,5.432,-2.747,-2.380
0.110,-0.729,0.715,6.042,-3.296,-2.502
0.106,-0.729,0.715,5.493,-3.662,-2.197
0.106,-0.727,0.725,4.578,-4.150,-1.587
0.109,-0.729,0.728,3.479,-4.211,-0.854
0.108,-0.720,0.722,2.563,-3.723,0.427
0.107,-0.704,0.714,2.563,-3.418,1.770
0.100,-0.698,0.717,3.357,-3.784,1.648
0.097,-0.701,0.719,4.150,-4.272,0.183
0.096,-0.707,0.727,5.005,-4.517,-1.709
0.093,-0.724,0.738,5.371,-4.578,-2.869
0.091,-0.739,0.730,6.165,-4.028,-3.662
0.088,-0.741,0.734,6.287,-3.723,-3.174
0.093,-0.733,0.742,4.700,-3.174,-2.502

-0.597,-1.500,0.626,191.040,-118.774,-163.879
-0.578,-1.438,0.555,169.678,-88.745,-131.775
-0.563,-1.403,0.500,143.738,-67.810,-110.229
-0.550,-1.382,0.508,122.925,-54.993,-94.238
-0.535,-1.382,0.536,106.567,-46.204,-83.008
-0.531,-1.455,0.575,88.562,-38.635,-75.745
-0.544,-1.573,0.594,66.284,-29.785,-66.895
-0.537,-1.660,0.585,42.786,-17.822,-53.833
-0.505,-1.695,0.578,24.048,-7.874,-36.072
-0.474,-1.695,0.576,0.305,1.648,-16.296
-0.414,-1.618,0.564,-26.489,13.184,6.653
-0.408,-1.545,0.588,-49.988,23.254,26.672
-0.457,-1.528,0.656,-65.979,29.053,38.818
-0.486,-1.479,0.700,-74.402,37.354,49.438
-0.493,-1.394,0.650,-71.411,52.856,62.866
-0.473,-1.310,0.550,-65.063,71.594,81.116
-0.446,-1.197,0.413,-63.965,87.036,102.112
-0.438,-1.089,0.336,-82.703,95.154,115.295
-0.459,-1.080,0.391,-107.666,95.093,117.432
-0.441,-1.035,0.522,-126.648,94.543,125.061
-0.379,-0.875,0.585,-129.028,102.783,143.188
-0.321,-0.625,0.529,-119.141,119.019,158.997
-0.245,-0.440,0.346,-100.098,132.874,156.250
-0.159,-0.366,0.253,-86.182,129.089,134.888
-0.085,-0.372,0.268,-89.233,112.915,105.774
-0.033,-0.444,0.351,-85.632,93.445,76.782
0.020,-0.496,0.426,-73.486,77.759,56.946
0.087,-0.466,0.449,-62.988,69.580,49.011
0.152,-0.443,0.455,-57.922,64.819,42.297
0.198,-0.493,0.427,-51.208,59.570,29.236
0.221,-0.542,0.413,-39.734,50.293,17.029
0.229,-0.572,0.437,-31.616,37.048,8.545
0.227,-0.591,0.460,-23.193,23.621,1.404
0.213,-0.607,0.492,-15.198,11.658,-4.883
0.189,-0.630,0.522,-10.681,1.770,-10.254
0.148,-0.699,0.563,-3.235,-5.737,-17.334
0.104,-0.797,0.602,5.493,-11.292,-23.071
0.068,-0.861,0.637,9.155,-13.977,-23.193
0.057,-0.872,0.655,9.155,-13.367,-18.066
0.052,-0.880,0.656,6.470,-11.047,-13.367
0.048,-0.900,0.645,3.845,-9.155,-10.742
0.047,-0.897,0.643,3.418,-9.033,-7.019
0.051,-0.847,0.634,5.615,-8.972,-1.526
0.056,-0.784,0.631,6.409,-8.850,2.869
0.058,-0.761,0.617,6.470,-8.850,3.113
0.051,-0.759,0.599,8.423,-9.644,0.732
0.042,-0.749,0.603,11.841,-12.268,-1.160
0.041,-0.755,0.616,13.184,-14.465,-3.113
0.035,-0.771,0.616,11.169,-14.709,-5.005
0.031,-0.795,0.625,9.155,-14.526,-6.104
0.025,-0.826,0.649,7.446,-14.893,-6.226
0.016,-0.868,0.652,6.897,-13.855,-5.493
0.002,-0.868,0.643,7.019,-11.536,-1.648
-0.001,-0.826,0.645,4.822,-9.460,4.089
0.006,-0.780,0.637,3.967,-7.324,7.751
0.018,-0.761,0.618,3.723,-5.859,7.629
