aX,aY,aZ,gX,gY,gZ
-0.418,-1.787,1.180,199.951,-34.912,-250.427
-0.351,-1.702,0.944,238.464,-20.081,-148.437
-0.254,-1.388,0.706,253.052,-12.817,-50.293
-0.141,-1.091,0.582,218.933,-23.804,24.414
-0.074,-1.043,0.825,118.835,-36.987,69.458
-0.116,-1.074,0.932,49.133,-33.081,99.976
-0.169,-1.255,0.834,7.751,-13.000,128.845
-0.214,-1.362,0.772,-24.231,1.831,168.030
-0.339,-1.238,0.644,-66.223,12.329,219.971
-0.558,-1.351,0.722,-96.313,6.104,261.597
-0.777,-1.501,0.752,-102.234,-0.366,302.612
-0.857,-0.969,0.668,-99.243,-12.451,362.854
-0.819,-0.331,0.769,-57.190,-43.762,396.667
-0.569,0.427,1.302,0.732,-78.003,388.977
-0.331,0.720,1.685,22.278,-89.417,345.276
-0.311,0.358,1.051,18.738,-41.626,266.602
-0.263,0.090,0.886,-1.099,-26.611,218.323
-0.132,0.128,1.047,-23.315,-34.363,195.557
-0.019,0.039,0.924,-42.664,-28.137,174.866
0.022,-0.079,0.795,-55.298,-23.682,156.616
0.019,-0.032,0.807,-59.570,-32.471,149.963
-0.014,-0.000,0.886,-57.617,-42.480,143.250
-0.066,-0.037,0.878,-46.448,-47.791,131.592
-0.093,-0.009,0.928,-32.104,-52.002,120.422
-0.106,0.166,1.124,-18.127,-54.626,109.375
-0.089,0.094,1.268,-7.080,-51.086,87.158
-0.068,-0.129,1.145,-4.150,-30.579,59.937
-0.043,-0.232,1.045,-5.188,-15.747,44.617
-0.014,-0.250,1.066,-6.287,-12.573,37.170
0.023,-0.217,1.008,-1.892,-10.315,33.142
0.056,-0.217,0.988,0.122,-8.850,29.419
0.079,-0.211,0.967,0.549,-7.446,24.475
0.080,-0.200,0.973,0.000,-6.897,19.653
0.058,-0.178,0.978,1.160,-6.714,14.587
0.036,-0.175,0.987,3.113,-5.615,8.972
0.018,-0.246,0.971,5.066,-4.822,2.747
0.011,-0.286,0.964,5.615,-4.272,-0.732
0.005,-0.280,0.998,5.920,-4.822,-2.502
-0.001,-0.296,1.001,6.592,-4.700,-4.883
-0.007,-0.339,1.003,6.592,-4.395,-7.019
-0.004,-0.358,1.006,5.676,-4.333,-7.080
0.002,-0.356,1.019,4.150,-3.967,-6.470
0.000,-0.334,1.017,3.357,-2.991,-5.920
-0.002,-0.310,1.001,4.211,-1.160,-5.737
-0.004,-0.337,0.985,4.639,0.244,-6.409
-0.008,-0.351,0.981,4.089,0.244,-6.653
-0.006,-0.342,0.974,4.456,-0.244,-5.920
-0.007,-0.312,0.985,5.737,-1.099,-5.005
-0.013,-0.307,0.991,6.836,-1.526,-4.883
-0.017,-0.340,0.975,7.324,-0.671,-5.676
-0.014,-0.344,0.982,7.263,-1.648,-5.676
-0.011,-0.339,0.998,7.263,-2.563,-5.249
-0.007,-0.347,1.002,6.409,-2.441,-5.310
-0.006,-0.351,1.001,5.127,-1.892,-5.005
0.001,-0.349,1.001,4.578,-1.770,-4.089
0.001,-0.352,1.001,3.662,-1.160,-3.235
0.010,-0.333,1.001,3.540,-1.465,-2.502
0.002,-0.324,1.000,3.174,-1.770,-1.953
-0.004,-0.320,0.979,3.479,-0.977,-2.136
-0.001,-0.333,0.979,3.967,-1.404,-2.441
-0.002,-0.323,0.991,4.456,-2.319,-1.465
-0.005,-0.334,0.990,5.005,-2.075,-1.282
-0.005,-0.341,0.983,4.578,-2.136,-1.099
-0.008,-0.333,0.990,3.662,-2.686,-0.305
-0.014,-0.327,0.984,3.845,-2.380,-0.183
-0.014,-0.321,0.999,3.662,-2.441,-0.061
-0.013,-0.318,0.997,3.540,-2.014,-0.671
-0.014,-0.330,0.975,3.601,-1.038,-1.282
-0.012,-0.346,0.978,2.991,-1.465,-1.831
-0.010,-0.341,0.997,1.892,-2.502,-1.221
-0.017,-0.333,1.000,1.648,-2.380,-0.793
-0.020,-0.331,0.995,1.953,-1.709,-0.854
-0.015,-0.353,0.974,1.709,-1.465,-1.221
-0.007,-0.354,0.989,1.038,-2.319,-0.610
-0.006,-0.343,0.990,0.977,-2.502,0.549
-0.008,-0.330,0.996,1.221,-2.014,0.977
-0.011,-0.321,0.997,1.160,-1.648,1.099
-0.008,-0.342,0.985,1.648,-1.526,0.427
-0.009,-0.331,0.994,1.099,-2.197,0.366
-0.012,-0.329,0.989,1.282,-2.563,0.183
-0.013,-0.344,0.980,1.831,-2.563,-0.488
-0.012,-0.344,0.992,1.892,-3.052,-0.488
-0.011,-0.349,0.990,1.221,-3.113,0.122
-0.016,-0.341,0.995,0.427,-3.174,0.916
